name,IDs,stakeholder_categories,Contents,date
チクチク＠お薬ブログ,@mrnetinfo,,"ノバルティスの開発品の中にインクリシランっていう良さげな薬があって、そろそろ発売かなぁ？と思ってググったらFDAから待ったかけられてました…

理由は施設不備っぽいけど、この会社は定期的に世界の当局とモメてない？開発力を政治でダメにしてる印象強くなってきたなぁ
 https://t.co/M87vJR5qTd",2021-03-25T01:26:34+00:00
Eduardo Zatarain,@EduZatarain,Doctor,"RT @JACCJournals: Must see! An up-to-date, state-of-the-art review of the most promising novel LDL-C lowering therapies such as inclisiran,…",2021-03-25T00:55:29+00:00
Alexis Idrobo Paredes,@DrAlexisIdroboP,,"RT @JACCJournals: Must see! An up-to-date, state-of-the-art review of the most promising novel LDL-C lowering therapies such as inclisiran,…",2021-03-25T00:30:16+00:00
unimusashi,@uni_pharmacist,,"RT @JACCJournals: Must see! An up-to-date, state-of-the-art review of the most promising novel LDL-C lowering therapies such as inclisiran,…",2021-03-24T22:03:26+00:00
Manish Motwani,@Doc_Tiger,Doctor,"RT @JACCJournals: Must see! An up-to-date, state-of-the-art review of the most promising novel LDL-C lowering therapies such as inclisiran,…",2021-03-24T21:41:25+00:00
Rodrigo Nunes Cal,@CalZole,Individual Other Health,"RT @AsherElad: Would you be ready to recommend Inclisiran (siRNA) for the treatment of dyslipidmeia before CVOT?
@GreggWStone @ESC_Journals…",2021-03-24T20:50:12+00:00
Arjen Cupido,@ArjenJCupido,,RT @NickNurmohamed: Our review of LDL-C lowering therapies published this week in JACC! Special thanks to @AnnMarieNavar and John Kastelein…,2021-03-24T19:53:23+00:00
Nick Nurmohamed,@NickNurmohamed,,Our review of LDL-C lowering therapies published this week in JACC! Special thanks to @AnnMarieNavar and John Kastelein.,2021-03-24T19:30:12+00:00
Nick Nurmohamed,@NickNurmohamed,,"RT @JACCJournals: Must see! An up-to-date, state-of-the-art review of the most promising novel LDL-C lowering therapies such as inclisiran,…",2021-03-24T19:26:40+00:00
Rodolfo ⚕,@rodolfo0398,,"RT @JACCJournals: Must see! An up-to-date, state-of-the-art review of the most promising novel LDL-C lowering therapies such as inclisiran,…",2021-03-24T18:00:26+00:00
"Danillo Taiguara, M. D.",@DanilloTaiguara,Doctor,"RT @JACCJournals: Must see! An up-to-date, state-of-the-art review of the most promising novel LDL-C lowering therapies such as inclisiran,…",2021-03-24T17:57:08+00:00
Rodrigo Nunes Cal,@CalZole,Individual Other Health,"RT @JACCJournals: Must see! An up-to-date, state-of-the-art review of the most promising novel LDL-C lowering therapies such as inclisiran,…",2021-03-24T17:50:23+00:00
Fer Nuñez,@DrFerNunez,Doctor,"RT @JACCJournals: Must see! An up-to-date, state-of-the-art review of the most promising novel LDL-C lowering therapies such as inclisiran,…",2021-03-24T16:16:33+00:00
MedClub,@MedClubPage,,"RT @JACCJournals: Must see! An up-to-date, state-of-the-art review of the most promising novel LDL-C lowering therapies such as inclisiran,…",2021-03-24T16:05:54+00:00
Joseling 🥀,@josel_day,,"RT @JACCJournals: Must see! An up-to-date, state-of-the-art review of the most promising novel LDL-C lowering therapies such as inclisiran,…",2021-03-24T15:56:53+00:00
Cardiology Bot,@BotCardiology,Spam,"RT @JACCJournals: Must see! An up-to-date, state-of-the-art review of the most promising novel LDL-C lowering therapies such as inclisiran,…",2021-03-24T15:56:35+00:00
JACC Journals,@JACCJournals,Org. Media,"Must see! An up-to-date, state-of-the-art review of the most promising novel LDL-C lowering therapies such as inclisiran, ANGPTL3i, bempedoic acid and CETPi. https://t.co/khczkJVpKr

@NickNurmohamed @AnnMarieNavar #JACC #CardioTwitter #CVD #Cholesterol https://t.co/XDIoEWsDxt",2021-03-24T15:53:05+00:00
Simon L,@SnupSnus,Individual Other Health,RT @SnupSnus: @Sports_bios Speaking of awful M&A looking at NVS yesterday - striking how all of Narasimhans big deals- 23$b in total are so…,2021-03-24T15:30:37+00:00
Simon L,@SnupSnus,Individual Other Health,"@Sports_bios Speaking of awful M&A looking at NVS yesterday - striking how all of Narasimhans big deals- 23$b in total are somewhat troubled Xiidra (4.6 rejected in EU) inclisiran, (9.7)in the Us and AVXS (8.7) also needing a new trial apparently... Great M&A capital allocation https://t.co/UXX9Klni41",2021-03-24T15:27:44+00:00
Dr. #veryasian Sou (서성만/徐成萬) 🩺🫀,@soumd,HCP,"RT @AsherElad: Would you be ready to recommend Inclisiran (siRNA) for the treatment of dyslipidmeia before CVOT?
@GreggWStone @ESC_Journals…",2021-03-24T14:15:38+00:00
Patients Rising Now,@PatientsRiseNow,Org. Other Healthcare,"As per usual, ICER’s evidence report on high cholesterol treatments does not adequately consider the views of real patients when determining how the drugs will impact their quality of life. #ICERWatch
https://t.co/wy98tUTBfv",2021-03-24T12:45:13+00:00
Luis Ortega Paz,@Ortega_Paz,"Doctor,Researcher/Academic","RT @AsherElad: Would you be ready to recommend Inclisiran (siRNA) for the treatment of dyslipidmeia before CVOT?
@GreggWStone @ESC_Journals…",2021-03-24T12:14:25+00:00
Elad Asher,@AsherElad,Doctor,"Would you be ready to recommend Inclisiran (siRNA) for the treatment of dyslipidmeia before CVOT?
@GreggWStone @ESC_Journals @djc795 @SABOURETCardio @EuroInterventio @DFCapodanno @PhilGenereuxMD @sbrugaletta @Ortega_Paz @Dr_Iakobishvili @BeigelRoy",2021-03-24T11:37:46+00:00
Rosa Casañ Fernandez,@RosaCasan,Doctor,RT @endonutrHCUVal: Novedades para el tratamiento del colesterol LD L,2021-03-24T06:12:09+00:00
Ángel Ortiz Z.,@angel76119853,,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-24T04:40:06+00:00
Esteban Noroña V.,@efnv94,Doctor,Disminuir la LDL vs las glicemias is the new fuente de la eterna juventud,2021-03-23T22:42:45+00:00
Juan Carlos García,@JuanCar02340,Doctor,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T21:21:15+00:00
XBI-Observer,@XBIObserver,,"That being said, past 8-9 months:
- MRK/Eisai CRL
- BMRN hem A CRL
- FGEN adcom+delayed roxa 
- SPRT CRL 
- GILD CRL 
- ABBV Rinvoq data req: AD/PA indications
- NVS inclisiran mfg CRL",2021-03-23T17:57:44+00:00
umh1950,@umh1950,Org. Other Healthcare,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T17:19:23+00:00
Djreys,@Djreys2,Doctor,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T15:15:33+00:00
Cristhián Ignacio Jerez Fernández,@jerez_fernandez,,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T14:44:45+00:00
santiago oquendo ⚕️,@rksanti,,"farmacológicos que se utilizan actualmente para reducir el C-LDL.
-Los inhibidores de inclisiran, ácido bempedoico, ANGPTL3 y CETP, que se encuentran en",2021-03-23T13:13:09+00:00
santiago oquendo ⚕️,@rksanti,,"nuevas terapias emergentes para reducir el colesterol unido a lipoproteínas de baja densidad (C-LDL) para la prevención de enfermedades cardiovasculares. Inclisiran, una pequeña molécula de ARN interferente que inhibe la PCSK9, solo debe dosificarse dos veces al año y tiene",2021-03-23T13:13:07+00:00
Đạt Nguyễn Đình,@DATDinhNguyen,,"RT @HanCardiomd: 📌Statins, ezetimibe, and PCSK9i monoclonal Ab are the main pharmacological agents currently used for lowering LDL-C.
📌Incl…",2021-03-23T12:20:40+00:00
Agelvis Martínez MD,@agelvisr,Doctor,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T10:57:43+00:00
LipidoSEEN,@LipidoSeen,,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T08:41:51+00:00
Kamol,@KamolMU,,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T08:41:51+00:00
amilkar almanza,@amilkar_almanza,,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T08:38:57+00:00
EndoNutr-HClinUValencia,@endonutrHCUVal,,Novedades para el tratamiento del colesterol LD L,2021-03-23T07:09:50+00:00
Actualfarma,@Actualfarma1,,"RT @ValleAlfonso: Inclisiran, bempedoic acid, ANGPTL3, and CETP inhibitors, which are in different stages of development 👉potential to dimi…",2021-03-23T07:07:22+00:00
Vicente Arrarte,@varrarte,Doctor,"RT @ValleAlfonso: Inclisiran, bempedoic acid, ANGPTL3, and CETP inhibitors, which are in different stages of development 👉potential to dimi…",2021-03-23T06:43:19+00:00
Vicente Arrarte,@varrarte,Doctor,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T06:43:10+00:00
Sociedad SEEN,@sociedadSEEN,Spam,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T06:27:18+00:00
Dr. Mohammad Shahadat Hossain Khan,@WELOVEYOUALLAH1,,"RT @HanCardiomd: 📌Statins, ezetimibe, and PCSK9i monoclonal Ab are the main pharmacological agents currently used for lowering LDL-C.
📌Incl…",2021-03-23T05:06:13+00:00
"Shazam Hussain, MD",@shazamhussain,"Doctor,Investigator","RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T04:07:38+00:00
| Daniel Sierra LM |,@DanielSierraLM,Doctor,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T04:02:24+00:00
Ricardo Vázquez R.,@Doctor_RR_,,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T03:49:13+00:00
Msc. Pedro Aguiar,@cardioaguiar,Doctor,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T03:32:12+00:00
Med Peds Hospitalist,@medpedshosp,Doctor,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T03:21:07+00:00
Dr. Zhong,@pzhong2016,,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T02:57:30+00:00
Fco Javier Gonzalez,@cardiofjgm,,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T02:50:52+00:00
José Alvarado,@Jalvs86,,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-23T01:05:37+00:00
Manuel Gaxiola,@cardiogax,Doctor,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-22T23:53:38+00:00
Carlos Rodríguez,@Carlos_RTilan,Doctor,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-22T23:48:57+00:00
Smita Mishra,@drsmitamishra,,"RT @ValleAlfonso: Inclisiran, bempedoic acid, ANGPTL3, and CETP inhibitors, which are in different stages of development 👉potential to dimi…",2021-03-22T23:25:21+00:00
"Carlos Fernandez, PharmD",@rojasfec,HCP,"RT @HanCardiomd: 📌Statins, ezetimibe, and PCSK9i monoclonal Ab are the main pharmacological agents currently used for lowering LDL-C.
📌Incl…",2021-03-22T23:02:16+00:00
Paloma Barja,@PBarja,Individual Other Health,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-22T22:30:13+00:00
Luis Aarón Falcón Espínola,@lfalesp,Doctor,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-22T22:29:20+00:00
Raquel Segovia,@Raquelsegpor,Doctor,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-22T21:24:40+00:00
Clara Bonanad,@BonanadClara,,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-22T21:21:48+00:00
Dr. Perez-Belmonte,@belmonte_dr,,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-22T21:03:28+00:00
juan ramon,@RamonTasmania,,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-22T20:50:45+00:00
Hany Ragy,@Hragy,Doctor,"RT @HanCardiomd: 📌Statins, ezetimibe, and PCSK9i monoclonal Ab are the main pharmacological agents currently used for lowering LDL-C.
📌Incl…",2021-03-22T20:06:58+00:00
Medtorek,@Medtorek,"Doctor,Researcher/Academic","RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-22T19:58:45+00:00
Haytham Sharar,@HaythamSharar,,"RT @HanCardiomd: 📌Statins, ezetimibe, and PCSK9i monoclonal Ab are the main pharmacological agents currently used for lowering LDL-C.
📌Incl…",2021-03-22T19:55:37+00:00
Jose Seijas Amigo,@AmigoSeijas,,"RT @ValleAlfonso: Inclisiran, bempedoic acid, ANGPTL3, and CETP inhibitors, which are in different stages of development 👉potential to dimi…",2021-03-22T19:44:41+00:00
ali uyar,@aliuyar1963,,"RT @HanCardiomd: 📌Statins, ezetimibe, and PCSK9i monoclonal Ab are the main pharmacological agents currently used for lowering LDL-C.
📌Incl…",2021-03-22T19:37:03+00:00
"Henry Han, MBBS, MD",@HanCardiomd,Doctor,"📌Statins, ezetimibe, and PCSK9i monoclonal Ab are the main pharmacological agents currently used for lowering LDL-C.
📌Inclisiran, bempedoic acid, ANGPTL3, and CETP inhibitors, which are in different stages of development, have the potential to ⬇️ residual risk related to LDL-C",2021-03-22T19:33:22+00:00
Alfonso Valle,@ValleAlfonso,Doctor,"Inclisiran, bempedoic acid, ANGPTL3, and CETP inhibitors, which are in different stages of development 👉potential to diminish residual risk related to LDL-C https://t.co/iNI8qZ8d3c",2021-03-22T19:18:45+00:00
Cristina Tejera,@cristinatejerap,"Doctor,Researcher/Academic","RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-22T18:48:09+00:00
Angela Romero Zarante,@ANGELARZ28,Doctor,Compilado: target  de drogas reductoras de LDL en la actualidad.,2021-03-22T18:40:35+00:00
Carlos Morillas,@61Morillas,"Doctor,Researcher/Academic","RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-03-22T18:38:19+00:00
Enrique Santas,@SantasEnrique,Doctor,"New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JACCJournals Focus Seminar

https://t.co/2KviCu2OhC https://t.co/IGscnlT2bu",2021-03-22T18:33:24+00:00
Compound Novice,@CompoundNovice,,"That's all well and good, you ask, but how can I make money with it?

In 2019, Novartis paid $10B to acquire The Medicines Company. Their only asset: Inclisiran, an investigative RNAi drug to lower cholesterol.

$10B for one drug candidate! That shows the potential value here.",2021-03-21T22:31:02+00:00
"Sam Tsimikas, MD",@Lpa_Doc,"Doctor,Researcher/Academic,Investigator","6/20 The first PCSK9i to lower LDL-C were antibodies that lower LDL-C ~60%, then siRNA inclisiran ~50%, and latest is @ionispharma  (AZD8233 with AZ) antisense that lowers LDL-C 70%. Inclisiran and AZD8233 are not approved yet in US.",2021-03-21T17:06:39+00:00
Investor News,@newsfilterio,,Study in Primary Care Evaluating Inclisiran Delivery Implementation + Enhanced Support - NCT04807400 $NVS https://t.co/Q8BuiiL6Qz,2021-03-20T05:38:44+00:00
Dr Mohammad I Kurdi د محمد كردي,@KurdimohKurdi,Doctor,"RT @mirvatalasnag: Novel agent (Inclisiran): 
🔑Mechanism of action
🔑Dosing ladder day 90 & then consider 6 monthly doses in second year
🔑Ad…",2021-03-19T18:46:15+00:00
MIЯVΛƬ #WIC,@mirvatalasnag,Doctor,"Novel agent (Inclisiran): 
🔑Mechanism of action
🔑Dosing ladder day 90 & then consider 6 monthly doses in second year
🔑Adverse events w large populations seeing regression to the mean
🔑Sustained results 
🔑Role in HeFH 
🔑Awaiting CVS outcome data https://t.co/895HwjkWpx",2021-03-19T18:36:59+00:00
MIЯVΛƬ #WIC,@mirvatalasnag,Doctor,"Learning about cost effectiveness analysis
#UAE #WaelAlMahmeed

Preauthorization every 3 months
Strict indications

So where does inclisiran fit in?  
@nejm https://t.co/bNr8vwRq1B https://t.co/3hjwuN1NGX",2021-03-19T17:53:29+00:00
Patients Rising Now,@PatientsRiseNow,Org. Other Healthcare,"Here is the last word on ICER’s latest final evidence report on new high cholesterol treatments. #ICERWatch

https://t.co/wy98tUTBfv",2021-03-19T16:05:17+00:00
JT and the NHS,@JTsNHS,,"Today @AACinnovation 

@UK_Life_Science check in

☕️ coffee roulette with a colleague
 in another part of IRLS
👥 SMT

💉 Inclisiran modelling 

🧬 Lipids education prog planning

🔬 #MedTech Funding Mandate prep

📄🖋 Developing our exit interview approach for #EDI programme",2021-03-17T14:08:15+00:00
Maria Seoane Vicente,@mariagijon37,Doctor,"RT @ValleAlfonso: Take #🏠message de @JCosinSales #ICHallenge sobre DL
📌estatina previene IC
📌si el paciente lleva estatina con IC, no se la…",2021-03-17T10:03:07+00:00
JT and the NHS,@JTsNHS,,"In a change from my recent  angry feminist scheduling ....
Exciting times @AACinnovation
👉🏼 great convos & progress W/ #Inclisiran 
👉🏼 #lipids education prog really taking shape
👉🏼 #medtechfundingmandate prep flying along
👉🏼 #PathwayTransformationFund applications coming in",2021-03-16T18:16:04+00:00
Colón Arteaga Macías СГАМ,@CGAM2016,Individual Other Health,"RT @ValleAlfonso: Take #🏠message de @JCosinSales #ICHallenge sobre DL
📌estatina previene IC
📌si el paciente lleva estatina con IC, no se la…",2021-03-16T11:48:01+00:00
Luis Aarón Falcón Espínola,@lfalesp,Doctor,"RT @ValleAlfonso: Take #🏠message de @JCosinSales #ICHallenge sobre DL
📌estatina previene IC
📌si el paciente lleva estatina con IC, no se la…",2021-03-15T20:54:07+00:00
David GGlez,@DavidGGlezFarm,,"RT @ValleAlfonso: Take #🏠message de @JCosinSales #ICHallenge sobre DL
📌estatina previene IC
📌si el paciente lleva estatina con IC, no se la…",2021-03-15T18:54:14+00:00
Dr. Jose Gabian Fortes,@gabianfortes,,"RT @ValleAlfonso: Take #🏠message de @JCosinSales #ICHallenge sobre DL
📌estatina previene IC
📌si el paciente lleva estatina con IC, no se la…",2021-03-15T18:46:00+00:00
SVCardio,@SVCardio,Org. Advocacy,"RT @ValleAlfonso: Take #🏠message de @JCosinSales #ICHallenge sobre DL
📌estatina previene IC
📌si el paciente lleva estatina con IC, no se la…",2021-03-15T18:31:28+00:00
Juan Cosin Sales,@JCosinSales,Doctor,"RT @ValleAlfonso: Take #🏠message de @JCosinSales #ICHallenge sobre DL
📌estatina previene IC
📌si el paciente lleva estatina con IC, no se la…",2021-03-15T18:29:54+00:00
Alfonso Valle,@ValleAlfonso,Doctor,"Take #🏠message de @JCosinSales #ICHallenge sobre DL
📌estatina previene IC
📌si el paciente lleva estatina con IC, no se la quites 
📌Mialgias?
📌inclisiran= “💉vacuna del LDL”
Otras novedades: bempedoico ⤵️mialgias y pelacarsen ⤵️⤵️Lp(a) @mi_cardiologo @61Morillas @DrMontomoli https://t.co/iaggUmmx5t",2021-03-15T18:28:30+00:00
SVCardio,@SVCardio,Org. Advocacy,RT @mi_cardiologo: Inclisiran en #IChallenge con @JCosinSales @SVCardio Ahora en : https://t.co/dofzOfsz9j https://t.co/pq0jI7tBfM,2021-03-15T18:26:45+00:00
Juan Cosin Sales,@JCosinSales,Doctor,RT @mi_cardiologo: Inclisiran en #IChallenge con @JCosinSales @SVCardio Ahora en : https://t.co/dofzOfsz9j https://t.co/pq0jI7tBfM,2021-03-15T18:25:14+00:00
Lorenzo Fácila,@mi_cardiologo,"Doctor,Researcher/Academic",Inclisiran en #IChallenge con @JCosinSales @SVCardio Ahora en : https://t.co/dofzOfsz9j https://t.co/pq0jI7tBfM,2021-03-15T18:23:22+00:00
كمال الكثيري 🇳🇴,@KamalAlkatheri,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-03-15T12:48:20+00:00
Gary9912,@DavidVGoliath6,,"RT @DavidVGoliath6: Great video by @ProfKausikRay on Bempedoic Acid, the new oral agent for #cholesterol lowering. #Nexletol & #Nexlizet @E…",2021-03-15T12:04:00+00:00
Gary9912,@DavidVGoliath6,,"Great video by @ProfKausikRay on Bempedoic Acid, the new oral agent for #cholesterol lowering. #Nexletol & #Nexlizet @EsperionInc 
#CardioTwitter 
@HeartNews 
@OurHealthyHeart 
@American_Heart 
@pfizer 
@Merck 
@shelbyK88 

https://t.co/zLY1SBX8rZ

https://t.co/EzyV1Vn2nc",2021-03-13T23:05:34+00:00
Gary9912,@DavidVGoliath6,,"@BH1377 And don’t forget Novartis paid 9.7 for Inclisiran without FDA approval.  You’re right, they may want to see the CVOT data or they may just take a gamble on it now (because of the ridiculously low Covid price here) 

https://t.co/Opj4kjQlSb",2021-03-12T23:27:13+00:00
Jesse Elliott PhD,@jesserunsfar,Individual Other Health,"RT @CADTH_ACMTS: ⚠️  Call for Patient/Clinician Input ⚠️ 
CADTH is requesting input on #Inclisiran (TBC) for Primary #hypercholesterolemia.…",2021-03-11T13:51:46+00:00
CADTH,@CADTH_ACMTS,Org. Advocacy,"⚠️  Call for Patient/Clinician Input ⚠️ 
CADTH is requesting input on #Inclisiran (TBC) for Primary #hypercholesterolemia. 
Submit input by April 9, 2021
https://t.co/7UXYfm3RNS

@HeartandStroke https://t.co/zBochbzQE7",2021-03-11T13:37:01+00:00
Colón Arteaga Macías СГАМ,@CGAM2016,Individual Other Health,RT @JAMACardio: Effect of 1 or 2 Doses of Inclisiran on Low-Density Lipoprotein Cholesterol Levels https://t.co/6pz1Yl2qNp #CardsAudio,2021-03-11T10:49:11+00:00
Hisham | هشام,@87HISHAM,,RT @JAMACardio: Effect of 1 or 2 Doses of Inclisiran on Low-Density Lipoprotein Cholesterol Levels https://t.co/6pz1Yl2qNp #CardsAudio,2021-03-11T10:35:33+00:00
JAMA Cardiology,@JAMACardio,Org. Media,Effect of 1 or 2 Doses of Inclisiran on Low-Density Lipoprotein Cholesterol Levels https://t.co/6pz1Yl2qNp #CardsAudio,2021-03-11T10:17:53+00:00
efna,@FjvJjo,,"RT @SeguraCardio: 📌Inclisiran: First Approval📝
#CardioEd #CardioTwitter https://t.co/rAeZeSDu4W",2021-03-10T10:46:02+00:00
efna,@FjvJjo,,"RT @mbotana: Y editorial:
- inclisirán inhibe la traducción del ARN de PCSK9 mediante un ARNip
- parece seguro y eficaz
- a la espera de má…",2021-03-10T10:43:25+00:00
efna,@FjvJjo,,"RT @mbotana: Metanálisis de los ensayos con #inclisirán Orion 9, 10, 11: efectivo, seguro y bien tolerado. - Pooled Patient-Level Analysis…",2021-03-10T10:42:15+00:00
Marta Varas Mayoral,@VarasMayoral,Doctor,RT @VuorioAlpo: Pooled Patient-Level Analysis of Inclisiran Trials in Patients With Fa... https://t.co/z6zcNUndhM,2021-03-10T07:20:32+00:00
FAMILIAL HYPERCHOLESTEROLEMIA,@VuorioAlpo,,Pooled Patient-Level Analysis of Inclisiran Trials in Patients With Fa... https://t.co/z6zcNUndhM,2021-03-10T05:15:03+00:00
Rodrigo Nunes Cal,@CalZole,Individual Other Health,RT @SABOURETCardio: Reminder #inclisiran https://t.co/bWTPPT7aPn,2021-03-09T09:28:22+00:00
"Dr Shailesh Singh MD, DNB, DNB",@drShaileshSingh,Doctor,RT @SABOURETCardio: Reminder #inclisiran https://t.co/bWTPPT7aPn,2021-03-09T03:33:13+00:00
SABOURETCardiologist,@SABOURETCardio,"Doctor,Researcher/Academic",Reminder #inclisiran https://t.co/bWTPPT7aPn,2021-03-09T03:16:21+00:00
Amar Puttanna 🎸,@AmarPut,Doctor,@drpatrickholmes @AbdTahrani @EAllen0417 @SABOURETCardio @kamleshkhunti @EASDelearning @DSNforumUK @HannahBeba @PharmRJ @redGDPS @drkevinfernando @bengoldacre Is that a plan for inclisiran @ProfKausikRay 😇,2021-03-08T19:21:32+00:00
KarlaG🐶,@kghaza,,RT @gerardo_viveros: 🔹¿Al fin podremos contar con un fármaco para reducir poderosamente el LDL sin los efectos adversos de las estatinas a…,2021-03-08T12:36:31+00:00
Anjan Gupta,@ACSCardiology,"Doctor,Investigator",Pooled Patient-Level Analysis of Inclisiran Trials in Patients With Familial Hypercholesterolemia or Atherosclerosis: https://t.co/nwPDOJB3op,2021-03-07T21:20:56+00:00
Ramin Farzaneh-Far MD,@rfsquared,,@sciencescanner @r_devraj https://t.co/o1KFB9qR3r,2021-03-07T11:06:14+00:00
Eamon McCarron,@eamon_mccarron,,RT @HanCardiomd: Pooled Patient-Level Analysis of Inclisiran Trials in Patients With Familial Hypercholesterolemia or Atherosclerosis by th…,2021-03-06T11:57:36+00:00
Gillian-Louise Smith,@GillianLouiseS1,,"RT @DrScottMurray: I did miss this. LDL-C when LP(a) content subtracted is no longer predictive of incident CVD. 🤨🧐🤔
The plot thickens or t…",2021-03-06T10:00:25+00:00
David Wyant,@wyadvd,HCP,"RT @DrScottMurray: I did miss this. LDL-C when LP(a) content subtracted is no longer predictive of incident CVD. 🤨🧐🤔
The plot thickens or t…",2021-03-06T08:00:59+00:00
Dr Scott W Murray,@DrScottMurray,Doctor,"I did miss this. LDL-C when LP(a) content subtracted is no longer predictive of incident CVD. 🤨🧐🤔
The plot thickens or thins? @ethanjweiss @PeterAttiaMD @lipiddoc @puddleg @ethanjweiss @Drlipid @DaveKeto @ProfKausikRay a case for PCSK9i/Inclisiran in those with bad genetics? https://t.co/mkcG5A495R",2021-03-06T07:57:34+00:00
